Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
ritz,2014,3.35,5.59,27000,Petrol,Dealer,Manual,0
sx4,2013,4.75,9.54,43000,Diesel,Dealer,Manual,0
ciaz,2017,7.25,9.85,6900,Petrol,Dealer,Manual,0
wagonr,2011,2.85,4.15,5200,Petrol,Dealer,Manual,0
swift,2014,4.60,6.87,42450,Diesel,Dealer,Manual,0
vitara,2018,9.25,11.23,2071,Diesel,Dealer,Manual,0
city,2015,6.75,8.12,18796,Petrol,Dealer,Manual,0
brio,2016,5.25,6.49,15000,Petrol,Dealer,Manual,0
amaze,2015,4.90,7.71,26000,Diesel,Dealer,Manual,0
alto,2012,2.50,3.98,50000,Petrol,Individual,Manual,0